codigo,nombre,carrera,semestre,materia,nota
II20220062,María Medina Morales,Ingeniería Industrial,1,Ergonomía,3.32
IS20230063,Alejandra Campos Delgado,Ingeniería de Sistemas,9,Programación I,3.9
OD20250064,Rodrigo Campos Aguilar,Odontología,6,Endodoncia,4.45
LE20250065,Carolina Aguilar Ruiz,Licenciatura en Educación Infantil,3,Lúdica,3.62
NI20250066,Iván Ortega Polo,Negocios Internacionales,9,Finanzas Internacionales,3.54
DR20220067,Carlos Morales Ortega,Derecho,6,Penal,3.15
IC20250068,Daniela Pinto Díaz,Ingeniería Civil,7,Hidráulica,3.71
LE20220069,Laura Vega Jiménez,Licenciatura en Educación Infantil,10,Inclusión,3.5
PS20230070,David Ramos Bermúdez,Psicología,7,Educativa,3.17
AR20230071,Valentina Jiménez Suárez,Arquitectura,7,Historia del Arte,4.99
OD20220072,Fernando Martínez Medina,Odontología,10,Anatomía Dental,4.07
CP20240073,Vanessa Rivera Hernández,Contaduría Pública,7,Auditoría,3.67
TS20240074,Juan Ortega Bermúdez,Trabajo Social,7,Intervención Social,3.87
AR20220075,Isabella Castillo Reyes,Arquitectura,2,Diseño I,4.6
AE20250076,Valentina Acosta Torres,Administración de Empresas,3,Gestión Humana,3.61
DR20220077,Alejandra Cruz Polo,Derecho,3,Penal,4.55
AR20250078,Valentina Ramos Salinas,Arquitectura,7,Urbanismo,3.28
CS20220079,Iván Morales Pérez,Comunicación Social,5,Comunicación Digital,4.17
IC20240080,Carolina Barrera Romero,Ingeniería Civil,9,Estática,4.41
AR20230081,Mateo Guerrero Romero,Arquitectura,8,Historia del Arte,3.21
NI20250082,Adriana Ortega Acosta,Negocios Internacionales,9,Logística,3.87
TS20240083,Natalia Mendoza Morales,Trabajo Social,2,Familia,3.19
DR20250084,Marcela Barrera Jiménez,Derecho,1,Constitucional,3.08
LE20240085,Diego Suárez Ortega,Licenciatura en Educación Infantil,10,Inclusión,2.8
PS20230086,Camila Morales Ariza,Psicología,8,Educativa,4.25
AE20230087,Valentina Rodríguez Vargas,Administración de Empresas,7,Marketing,4.18
PS20240088,Diana Campos Castillo,Psicología,9,Social,4.14
CS20240089,Diego Reyes Sánchez,Comunicación Social,4,Periodismo,4.48
AE20240090,Alejandra Rivera Gómez,Administración de Empresas,8,Contabilidad,4.76
CP20240091,Carlos Pérez Gómez,Contaduría Pública,4,Auditoría,3.85
IS20240092,Nicolás Ortega López,Ingeniería de Sistemas,9,Bases de Datos,4.38
CP20250093,Mateo García Salinas,Contaduría Pública,8,Costos,3.98
TS20250094,Diego Ríos Sánchez,Trabajo Social,2,Familia,3.25
NI20240095,Isabella Torres Torres,Negocios Internacionales,10,Comercio Exterior,4.56
OD20230096,Liliana Vega Palacios,Odontología,10,Endodoncia,3.95
CP20220097,Paola Cárdenas Guerrero,Contaduría Pública,10,Finanzas,4.55
AE20220098,Liliana Díaz Pineda,Administración de Empresas,5,Finanzas,3.22
MD20250099,Andrés García Vega,Medicina,10,Farmacología,1.55
IC20240100,Carlos Guzmán Delgado,Ingeniería Civil,4,Concreto,4.47
AE20240101,Carolina Sánchez Núñez,Administración de Empresas,3,Finanzas,3.07
TS20240102,Paola Palacios Figueroa,Trabajo Social,10,Familia,3.28
EN20250103,Alejandra Medina Ortega,Enfermería,9,Salud Pública,3.02
OD20220104,Carolina Figueroa Mendoza,Odontología,5,Anatomía Dental,3.27
NI20220105,Eduardo Cárdenas Martínez,Negocios Internacionales,5,Finanzas Internacionales,3.83
PS20220106,Natalia Rivera Cárdenas,Psicología,8,Educativa,3.67
DR20250107,Rodrigo Pérez Flores,Derecho,7,Constitucional,4.2
MD20240108,Liliana Aguilar López,Medicina,2,Farmacología,3.99
AR20250109,Melissa Herrera García,Arquitectura,9,Historia del Arte,1.99
AR20220110,Marcela Bermúdez Peña,Arquitectura,8,Urbanismo,3.57
MD20220111,Carlos Ruiz Guzmán,Medicina,2,Cirugía,4.35
EN20220112,Paola Aguilar García,Enfermería,7,Farmacología,4.96
TS20250113,Vanessa Sánchez Roa,Trabajo Social,3,Comunidad,3.64
MD20230114,Ricardo Ríos Morales,Medicina,9,Clínica,3.24
CP20240115,Mauricio Ramírez González,Contaduría Pública,7,Finanzas,3.5
OD20230116,Sandra Ramos Cárdenas,Odontología,8,Ortodoncia,3.67
PS20240117,Diana Bermúdez Núñez,Psicología,8,Neuropsicología,4.62
PS20240118,Juan Reyes Polo,Psicología,1,Educativa,4.41
II20220119,Juan Barrera Roa,Ingeniería Industrial,8,Producción,3.8
EN20220120,Mateo Ruiz Pérez,Enfermería,8,Farmacología,3.83
NI20240121,Daniela González Ríos,Negocios Internacionales,5,Tratados,4.32
PS20250122,Luisa Serrano Núñez,Psicología,6,Evaluación,1.13
AE20250123,Iván Serrano Vargas,Administración de Empresas,2,Gestión Humana,4.35
CS20220124,Mateo Ruiz Flores,Comunicación Social,5,Periodismo,3.53
II20250125,David Romero Guerrero,Ingeniería Industrial,4,Logística,4.09
TS20230126,Mariana Rodríguez Acosta,Trabajo Social,7,Familia,4.57
MD20220127,Vanessa Pineda Cruz,Medicina,5,Clínica,4.84
DR20240128,Andrés González Ruiz,Derecho,10,Laboral,4.23
TS20220129,Paola Gómez Jiménez,Trabajo Social,8,Política Social,3.68
IS20240130,Carlos Guzmán Vargas,Ingeniería de Sistemas,7,Programación I,3.84
CS20240131,Mauricio Hernández Palacios,Comunicación Social,8,Producción Audiovisual,4.18
CP20220132,Iván Gómez Acosta,Contaduría Pública,3,Contabilidad General,3.72
II20240133,Patricia Romero Ariza,Ingeniería Industrial,2,Estadística,4.09
EN20240134,Nicolás Núñez Romero,Enfermería,9,Farmacología,3.91
TS20220135,Ricardo Vargas Figueroa,Trabajo Social,6,Familia,4.57
AR20240136,Julián Serrano Ariza,Arquitectura,7,Diseño I,4.01
DR20250137,Fernando Sánchez Delgado,Derecho,5,Constitucional,3.09
DR20230138,Valentina Acosta Aguilar,Derecho,10,Derecho Civil,4.23
PS20230139,Alejandra Ramos Roa,Psicología,2,Psicología Clínica,4.65
AE20230140,María Sánchez Pérez,Administración de Empresas,9,Estrategia,3.84
PS20230141,Mauricio Guzmán Núñez,Psicología,10,Educativa,4.42
IS20230142,Marcela Vega Ortega,Ingeniería de Sistemas,6,Algoritmos,3.62
DR20240143,Stephanie Pérez Serrano,Derecho,9,Derecho Civil,3.59
AR20220144,Sofía Delgado Rodríguez,Arquitectura,4,Diseño I,4.12
IC20230145,Nicolás Salinas Díaz,Ingeniería Civil,9,Concreto,3.35
NI20220146,Luisa Polo Torres,Negocios Internacionales,10,Idiomas,4.07
NI20220147,Nicolás Núñez Cruz,Negocios Internacionales,3,Comercio Exterior,3.14
IS20240148,Andrea Cárdenas Mendoza,Ingeniería de Sistemas,3,Programación I,3.17
MD20240149,Sofía Figueroa González,Medicina,8,Cirugía,3.73
CS20240150,Julián Acosta López,Comunicación Social,9,Opinión Pública,4.02
AR20250151,Ricardo Medina Guerrero,Arquitectura,2,Historia del Arte,3.03
II20240152,Rafael Torres González,Ingeniería Industrial,5,Ergonomía,4.77
PS20220153,Vanessa Herrera Palacios,Psicología,2,Evaluación,4.11
DR20250154,Luis Reyes Vega,Derecho,8,Laboral,4.16
DR20250155,Miguel Barrera Cruz,Derecho,3,Derecho Civil,3.03
CS20230156,Carolina Pérez Figueroa,Comunicación Social,6,Comunicación Digital,2.82
IC20240157,Diana Suárez Barrera,Ingeniería Civil,7,Topografía,4.36
DR20230158,Carlos Palacios Ramos,Derecho,2,Penal,4.11
DR20240159,Mateo Castillo Aguilar,Derecho,2,Procesal,3.17
OD20220160,Diana Polo Acosta,Odontología,9,Endodoncia,4.91
CP20240161,Natalia Martínez Rivera,Contaduría Pública,5,Tributaria,2.65
IC20220162,Eduardo Barrera Medina,Ingeniería Civil,3,Estática,4.11
II20240163,Jorge Delgado Suárez,Ingeniería Industrial,6,Estadística,4.28
II20220164,Camila Hernández Torres,Ingeniería Industrial,10,Investigación de Operaciones,3.83
PS20230165,María Palacios Ruiz,Psicología,5,Evaluación,3.17
OD20240166,Carlos Serrano Serrano,Odontología,8,Anatomía Dental,3.39
CP20230167,Isabella García Díaz,Contaduría Pública,4,Tributaria,3.56
II20250168,María Figueroa Guerrero,Ingeniería Industrial,3,Logística,4.25
PS20250169,Rodrigo Castillo González,Psicología,1,Psicología Clínica,3.54
OD20250170,Miguel Salinas Guerrero,Odontología,7,Periodoncia,3.01
MD20220171,Miguel Flores Acosta,Medicina,6,Clínica,4.12
IC20240172,Patricia Medina Campos,Ingeniería Civil,7,Hidráulica,3.31
IC20230173,Sebastián Herrera Pineda,Ingeniería Civil,9,Hidráulica,3.98
IC20240174,Adriana Torres Morales,Ingeniería Civil,3,Resistencia de Materiales,3.06
II20250175,Liliana Roa González,Ingeniería Industrial,8,Logística,4.22
OD20240176,Eduardo Roa Pineda,Odontología,6,Cirugía Oral,3.73
OD20240177,Iván Ramos Ortega,Odontología,1,Endodoncia,3.18
TS20220178,Santiago Hernández Romero,Trabajo Social,5,Intervención Social,4.25
NI20250179,Vanessa Cárdenas Aguilar,Negocios Internacionales,1,Tratados,4.16
IS20220180,Ricardo Herrera Torres,Ingeniería de Sistemas,8,Redes,4.54
AE20250181,Adriana Rivera López,Administración de Empresas,8,Contabilidad,3.58
PS20220182,Stephanie Vargas Jiménez,Psicología,6,Social,1.18
CP20230183,Monica Jiménez Vargas,Contaduría Pública,10,Tributaria,3.27
CS20230184,David Ramos Roa,Comunicación Social,7,Comunicación Digital,4.04
NI20230185,Diana Jiménez Roa,Negocios Internacionales,6,Tratados,3.27
DR20230186,Hernán Romero Martínez,Derecho,5,Penal,3.88
II20240187,Felipe Reyes Ramírez,Ingeniería Industrial,2,Investigación de Operaciones,3.77
AR20230188,Mauricio Campos López,Arquitectura,6,Materiales,3.58
NI20250189,Alejandra Polo Acosta,Negocios Internacionales,3,Comercio Exterior,3.84
CP20230190,Andrea Ruiz Acosta,Contaduría Pública,8,Finanzas,3.39
AR20250191,Ricardo Gómez Romero,Arquitectura,10,Historia del Arte,4.39
II20230192,Hernán Campos Vega,Ingeniería Industrial,4,Estadística,1.91
CS20220193,Stephanie Aguilar Pérez,Comunicación Social,9,Publicidad,3.06
TS20220194,Luis Herrera Torres,Trabajo Social,7,Política Social,4.44
PS20240195,Valentina Vega Hernández,Psicología,9,Neuropsicología,3.54
LE20240196,Julián Martínez Mendoza,Licenciatura en Educación Infantil,2,Desarrollo Infantil,3.11
NI20250197,Ricardo Guzmán Ramírez,Negocios Internacionales,8,Tratados,1.15
EN20250198,Diego Díaz Torres,Enfermería,10,Cuidado Básico,4.12
PS20250199,Sofía Hernández Morales,Psicología,10,Psicología Clínica,3.36
AR20230200,Rafael Núñez Martínez,Arquitectura,9,Urbanismo,3.5
PS20220201,David Morales Salinas,Psicología,3,Evaluación,4.53
NI20220202,Claudia Núñez Herrera,Negocios Internacionales,9,Logística,4.02
CS20240203,Juan Romero Cruz,Comunicación Social,1,Periodismo,3.87
OD20230204,Iván Pérez Polo,Odontología,6,Anatomía Dental,3.67
AR20250205,Adriana Rivera Polo,Arquitectura,8,Urbanismo,4.03
CP20220206,Cristian Delgado López,Contaduría Pública,4,Auditoría,4.66
TS20250207,Paola Herrera Medina,Trabajo Social,9,Comunidad,2.23
IS20240208,Carlos Castillo Polo,Ingeniería de Sistemas,6,Programación I,4.22
LE20240209,Melissa Figueroa Ruiz,Licenciatura en Educación Infantil,7,Desarrollo Infantil,3.75
CS20220210,Claudia Ortega Rodríguez,Comunicación Social,7,Opinión Pública,4.41
IC20240211,Fernando Vargas Mendoza,Ingeniería Civil,2,Hidráulica,3.8
MD20250212,Carolina Flores Guzmán,Medicina,6,Anatomía,4.46
AR20220213,Marcela Guerrero Ortega,Arquitectura,1,Historia del Arte,3.9
II20250214,Monica Flores Martínez,Ingeniería Industrial,10,Investigación de Operaciones,3.09
PS20220215,Adriana Romero Romero,Psicología,10,Evaluación,3.18
NI20230216,Stephanie Romero Ruiz,Negocios Internacionales,2,Tratados,3.66
IS20250217,Natalia Morales Sánchez,Ingeniería de Sistemas,3,Sistemas Operativos,3.78
CS20230218,Diego Polo Cruz,Comunicación Social,8,Comunicación Digital,3.96
II20250219,María Gómez Sánchez,Ingeniería Industrial,2,Producción,4.72
AR20220220,Camila Serrano Mendoza,Arquitectura,6,Materiales,3.95
LE20240221,Andrés Pinto Pinto,Licenciatura en Educación Infantil,3,Inclusión,3.39
IS20240222,Nicolás Morales Peña,Ingeniería de Sistemas,6,Algoritmos,4.28
CP20250223,Marcela Rodríguez González,Contaduría Pública,7,Finanzas,3.7
DR20250224,Eduardo González Ramírez,Derecho,2,Laboral,4.17
OD20230225,Cristian Aguilar Pineda,Odontología,3,Ortodoncia,3.93
CP20230226,Sofía Campos Torres,Contaduría Pública,3,Tributaria,4.61
CP20240227,Claudia Vargas Rodríguez,Contaduría Pública,4,Auditoría,4.31
II20230228,Camila Herrera Roa,Ingeniería Industrial,10,Producción,4.36
IS20220229,Rafael Suárez Salinas,Ingeniería de Sistemas,1,Programación I,4.89
NI20250230,Diego Roa Díaz,Negocios Internacionales,10,Tratados,4.25
AR20250231,Iván Núñez Vargas,Arquitectura,5,Urbanismo,4.34
CS20230232,Paola Delgado González,Comunicación Social,1,Opinión Pública,3.73
DR20240233,Luisa Palacios Torres,Derecho,6,Laboral,3.15
AE20220234,Diana Pérez Mendoza,Administración de Empresas,8,Marketing,3.57
TS20250235,Isabella Vargas Jiménez,Trabajo Social,10,Política Social,4.95
DR20230236,Miguel Salinas Ariza,Derecho,4,Laboral,4.73
IC20250237,Paola Peña Martínez,Ingeniería Civil,7,Resistencia de Materiales,3.14
OD20240238,Isabella Vargas Peña,Odontología,8,Endodoncia,1.2
DR20240239,Nicolás Cruz Ariza,Derecho,7,Derecho Civil,3.79
CP20250240,Felipe Romero Aguilar,Contaduría Pública,2,Finanzas,3.77
IC20220241,Marcela Serrano Acosta,Ingeniería Civil,3,Topografía,3.99
II20250242,Diana Romero Bermúdez,Ingeniería Industrial,4,Logística,1.07
EN20230243,Gabriel Suárez Ríos,Enfermería,8,Urgencias,4.57
PS20240244,Marcela Mendoza Flores,Psicología,10,Evaluación,3.91
OD20250245,Fernando Peña Pinto,Odontología,5,Anatomía Dental,3.84
NI20250246,Jorge Cárdenas Ramos,Negocios Internacionales,1,Idiomas,4.89
AE20250247,Cristian Cárdenas Salinas,Administración de Empresas,1,Finanzas,3.86
TS20220248,Cristian Jiménez Torres,Trabajo Social,4,Investigación Social,4.55
PS20250249,Valentina Ruiz Mendoza,Psicología,3,Neuropsicología,3.89
IS20230250,Ricardo Figueroa Ariza,Ingeniería de Sistemas,3,Sistemas Operativos,3.83
II20240251,Claudia Jiménez Mendoza,Ingeniería Industrial,8,Logística,3.89
NI20250252,Sandra Serrano Roa,Negocios Internacionales,5,Finanzas Internacionales,4.64
NI20230253,Paola Reyes Ramos,Negocios Internacionales,5,Logística,3.67
IC20250254,Sandra Ortega Vargas,Ingeniería Civil,10,Topografía,4.48
CP20240255,Daniela Vargas López,Contaduría Pública,2,Costos,4.37
CP20240256,Laura Gómez Núñez,Contaduría Pública,9,Auditoría,3.3
AR20230257,Andrea Morales Hernández,Arquitectura,9,Urbanismo,1.79
AR20220258,Gabriel Ríos Pérez,Arquitectura,3,Materiales,4.58
AR20240259,Adriana Ríos Ríos,Arquitectura,4,Estructuras,3.53
OD20220260,Cristian Rodríguez Roa,Odontología,4,Cirugía Oral,3.92
II20220261,Santiago Medina Peña,Ingeniería Industrial,5,Investigación de Operaciones,3.8
AR20250262,Luisa Vargas Delgado,Arquitectura,9,Urbanismo,4.23
II20240263,Felipe Sánchez Suárez,Ingeniería Industrial,8,Producción,1.64
NI20230264,Carlos Salinas Serrano,Negocios Internacionales,4,Tratados,4.45
IC20220265,Carolina Herrera Mendoza,Ingeniería Civil,7,Resistencia de Materiales,4.74
PS20250266,Andrea García Cruz,Psicología,4,Social,4.65
CP20230267,Sandra Salinas García,Contaduría Pública,6,Contabilidad General,4.23
EN20220268,Andrés Medina Serrano,Enfermería,5,Pediatría,3.61
MD20240269,Nicolás Ríos Torres,Medicina,10,Clínica,4.46
TS20230270,Liliana Núñez Barrera,Trabajo Social,4,Investigación Social,4.04
DR20220271,Luis Campos Pinto,Derecho,2,Derecho Civil,4.45
II20240272,Felipe Salinas Núñez,Ingeniería Industrial,3,Logística,3.84
IC20250273,Gabriel Cárdenas Peña,Ingeniería Civil,9,Estática,3.76
EN20240274,Vanessa Salinas Hernández,Enfermería,8,Cuidado Básico,3.91
IC20250275,Mauricio Díaz Cárdenas,Ingeniería Civil,1,Hidráulica,4.27
IS20250276,Isabella González Ríos,Ingeniería de Sistemas,5,Bases de Datos,4.38
DR20250277,Sandra Roa Vega,Derecho,7,Laboral,3.84
AR20220278,Rodrigo Núñez Ramírez,Arquitectura,6,Urbanismo,4.7
TS20220279,Nicolás Ariza Reyes,Trabajo Social,1,Comunidad,3.86
TS20230280,Carolina Núñez Jiménez,Trabajo Social,4,Familia,3.64
IS20220281,Sandra Bermúdez Sánchez,Ingeniería de Sistemas,7,Bases de Datos,3.04
AR20230282,Santiago Ruiz Palacios,Arquitectura,1,Diseño I,3.62
IS20240283,Laura Bermúdez Polo,Ingeniería de Sistemas,3,Bases de Datos,4.37
NI20230284,Miguel Salinas Palacios,Negocios Internacionales,6,Idiomas,4.49
CP20220285,Claudia Reyes Vega,Contaduría Pública,5,Finanzas,4.94
PS20250286,Mariana Pineda Serrano,Psicología,9,Psicología Clínica,4.97
DR20250287,Rodrigo Jiménez Campos,Derecho,7,Penal,3.59
TS20240288,Fernando Ríos Morales,Trabajo Social,4,Política Social,4.46
EN20230289,Diana Vega Vega,Enfermería,9,Salud Pública,3.08
TS20220290,Adriana Rodríguez Ruiz,Trabajo Social,6,Investigación Social,4.1
OD20220291,Natalia Jiménez Serrano,Odontología,10,Anatomía Dental,3.3
AE20230292,Sandra Barrera Aguilar,Administración de Empresas,8,Marketing,3.95
IC20230293,Laura Gómez Figueroa,Ingeniería Civil,8,Concreto,4.2
NI20250294,Andrea Aguilar Mendoza,Negocios Internacionales,5,Logística,3.68
LE20250295,Diego Romero Herrera,Licenciatura en Educación Infantil,8,Pedagogía,4.36
DR20250296,Liliana Mendoza Díaz,Derecho,6,Derecho Civil,3.61
EN20250297,Daniela Martínez Cruz,Enfermería,10,Pediatría,3.13
MD20240298,Juan Salinas Morales,Medicina,9,Farmacología,4.24
MD20230299,Sandra Roa Figueroa,Medicina,8,Farmacología,3.29
AR20220300,María Rivera Núñez,Arquitectura,1,Diseño I,4.83
II20220301,Liliana García Vega,Ingeniería Industrial,4,Producción,1.96
AR20250302,Stephanie Hernández Acosta,Arquitectura,10,Historia del Arte,2.01
EN20240303,Jorge García Martínez,Enfermería,5,Cuidado Básico,3.85
LE20230304,Carolina Rivera Pérez,Licenciatura en Educación Infantil,2,Desarrollo Infantil,3.21
IC20250305,David Ortega Medina,Ingeniería Civil,6,Topografía,4.0
TS20220306,Julián Ramos Serrano,Trabajo Social,2,Intervención Social,3.69
IS20220307,Ricardo Hernández Pineda,Ingeniería de Sistemas,3,Algoritmos,4.32
LE20220308,Luisa Salinas Pérez,Licenciatura en Educación Infantil,9,Desarrollo Infantil,3.35
IS20240309,Eduardo Ríos Ortega,Ingeniería de Sistemas,2,Sistemas Operativos,3.52
OD20250310,Miguel Martínez Díaz,Odontología,3,Anatomía Dental,3.78
LE20240311,Eduardo Jiménez Serrano,Licenciatura en Educación Infantil,9,Lúdica,4.07
EN20220312,Alejandra Ariza Rodríguez,Enfermería,6,Cuidado Básico,3.92
OD20250313,Luisa Palacios Polo,Odontología,10,Periodoncia,1.52
DR20250314,Luis Peña Reyes,Derecho,9,Laboral,3.23
OD20230315,Juan Rodríguez Polo,Odontología,5,Anatomía Dental,3.06
CS20240316,Gabriel Pineda Torres,Comunicación Social,7,Publicidad,3.0
NI20220317,Paola Ruiz Romero,Negocios Internacionales,5,Finanzas Internacionales,3.17
PS20220318,Diana Aguilar Herrera,Psicología,2,Psicología Clínica,3.55
IS20250319,Rafael Mendoza Jiménez,Ingeniería de Sistemas,5,Algoritmos,4.36
EN20250320,Diana Morales Salinas,Enfermería,3,Farmacología,3.12
II20240321,María Torres González,Ingeniería Industrial,7,Ergonomía,3.89
CS20230322,Stephanie Cruz Morales,Comunicación Social,8,Opinión Pública,3.12
PS20250323,Melissa Suárez Acosta,Psicología,6,Social,3.91
CP20230324,Adriana Palacios Ramírez,Contaduría Pública,6,Costos,3.98
CS20230325,Miguel Vargas Figueroa,Comunicación Social,8,Publicidad,3.91
LE20230326,Melissa Romero Sánchez,Licenciatura en Educación Infantil,10,Inclusión,4.59
CS20230327,Cristian Aguilar Martínez,Comunicación Social,8,Opinión Pública,4.42
MD20240328,Sebastián Vega Serrano,Medicina,3,Fisiología,3.58
MD20250329,Carolina Jiménez González,Medicina,10,Cirugía,3.75
IS20220330,Alejandra Vega Núñez,Ingeniería de Sistemas,6,Programación I,4.33
OD20250331,David Flores Roa,Odontología,1,Periodoncia,4.72
AE20230332,Alejandro Pérez Cruz,Administración de Empresas,9,Estrategia,3.73
EN20240333,Monica Cárdenas Guzmán,Enfermería,3,Cuidado Básico,3.65
II20240334,Camila Sánchez Ariza,Ingeniería Industrial,6,Estadística,3.6
IC20250335,Ricardo Castillo Ríos,Ingeniería Civil,8,Hidráulica,1.08
TS20220336,Gabriel Sánchez Martínez,Trabajo Social,6,Política Social,4.87
II20250337,Claudia Rivera Aguilar,Ingeniería Industrial,6,Ergonomía,3.16
AR20250338,Mariana Rivera Pineda,Arquitectura,7,Diseño I,4.44
PS20230339,Luis Cárdenas Guerrero,Psicología,1,Neuropsicología,3.85
NI20230340,Sebastián Salinas Pérez,Negocios Internacionales,9,Idiomas,3.73
EN20250341,Diego Barrera Peña,Enfermería,6,Urgencias,3.56
II20220342,David Delgado Acosta,Ingeniería Industrial,5,Producción,3.62
CS20250343,Sofía Rivera Romero,Comunicación Social,3,Opinión Pública,3.79
AR20230344,Carolina Rivera Peña,Arquitectura,9,Materiales,3.12
OD20240345,Mariana Mendoza Ruiz,Odontología,1,Anatomía Dental,3.6
AR20250346,Juan Aguilar Herrera,Arquitectura,8,Historia del Arte,3.92
OD20230347,María Flores Rodríguez,Odontología,1,Periodoncia,1.43
MD20250348,Carlos Flores Polo,Medicina,10,Cirugía,3.79
TS20220349,Natalia Polo Núñez,Trabajo Social,6,Familia,3.99
NI20240350,Mateo Figueroa Roa,Negocios Internacionales,4,Comercio Exterior,3.67
NI20230351,Camila Ruiz Sánchez,Negocios Internacionales,4,Tratados,4.43
II20230352,Marcela Pineda Guerrero,Ingeniería Industrial,10,Producción,4.4
CP20230353,Eduardo Castillo Núñez,Contaduría Pública,10,Tributaria,4.65
LE20230354,Eduardo Ortega Herrera,Licenciatura en Educación Infantil,2,Lúdica,5.0
